sample_id	sample_name	raw_path	region
"AA_ASAP100_ctrl_NP18-148_PUT"	"AA_ASAP100_ctrl_NP18-148_PUT"	"/path/to/backup/raquelgg_fs1_jakobssonlab/CTG_JGJSeq273_240_10X_2023_231/0_fastq/HMY3VDMXY/AA_ASAP100_ctrl_NP18_148_PUT_S6"	"PUT"
"AA_ASAP117_PD_NP22-55_PUT"	"AA_ASAP117_PD_NP22-55_PUT"	"/path/to/backup/ysharma_fs1_jjlab/CTG_JGJSeq275_276_277_279_2023_252NovaseqX/data/AA_ASAP117_PD_NP22_55_PUT_S41"	"PUT"
"AA_ASAP87_PD_NP21-208_PUT"	"AA_ASAP87_PD_NP21-208_PUT"	"/path/to/backup/ysharma_fs1_jjlab/raw_data/JGJSeq264_10X_AA_JJ_2023_193/230906_A00681_0900_AHMFLKDMXY/HMFLKDMXY/outs/fastq_path/10X/Seq264_11"	"PUT"
"AA_ASAP88_PD_NP21-217_PUT"	"AA_ASAP88_PD_NP21-217_PUT"	"/path/to/backup/ysharma_fs1_jjlab/raw_data/JGJSeq264_10X_AA_JJ_2023_193/230906_A00681_0900_AHMFLKDMXY/HMFLKDMXY/outs/fastq_path/10X/Seq264_12"	"PUT"
"AA_ASAP92_ctrl_NP16-284_PUT"	"AA_ASAP92_ctrl_NP16-284_PUT"	"/path/to/backup/raquelgg_fs1_jakobssonlab/CTG_JGJSeq273_240_10X_2023_231/0_fastq/HMY3VDMXY/AA_ASAP92_ctrl_NP16_284_PUT_S5"	"PUT"
"AA_ASAP93_ctrl_NP16-293_PUT"	"AA_ASAP93_ctrl_NP16-293_PUT"	"/path/to/backup/raquelgg_fs1_jakobssonlab/CTG_JGJSeq273_240_10X_2023_231/0_fastq/HMY3VDMXY/AA_ASAP93_ctrl_NP16_293_PUT_S8"	"PUT"
"AA_ASAP94_ctrl_NP17-20_PUT"	"AA_ASAP94_ctrl_NP17-20_PUT"	"/path/to/backup/raquelgg_fs1_jakobssonlab/CTG_JGJSeq273_240_10X_2023_231/0_fastq/HMY3VDMXY/AA_ASAP94_ctrl_NP17_20_PUT_S11"	"PUT"
"AA_ASAP95_ctrl_NP17-216_PUT"	"AA_ASAP95_ctrl_NP17-216_PUT"	"/path/to/backup/raquelgg_fs1_jakobssonlab/CTG_JGJSeq273_240_10X_2023_231/0_fastq/HMY3VDMXY/AA_ASAP95_ctrl_NP17_216_PUT_S14"	"PUT"
"AA_ASAP96_ctrl_NP18-46_PUT"	"AA_ASAP96_ctrl_NP18-46_PUT"	"/path/to/backup/raquelgg_fs1_jakobssonlab/CTG_JGJSeq273_240_10X_2023_231/0_fastq/HMY3VDMXY/AA_ASAP96_ctrl_NP18_46_PUT_S17"	"PUT"
"AA_ASAP97_PD_NP21-57_PUT"	"AA_ASAP97_PD_NP21-57_PUT"	"/path/to/backup/raquelgg_fs1_jakobssonlab/CTG_JGJSeq273_240_10X_2023_231/0_fastq/HMY3VDMXY/AA_ASAP97_PD_NP21_57_PUT_S20"	"PUT"
"AA_ASAP98_ctrl_NP16-119_PUT"	"AA_ASAP98_ctrl_NP16-119_PUT"	"/path/to/backup/raquelgg_fs1_jakobssonlab/CTG_JGJSeq273_240_10X_2023_231/0_fastq/HMY3VDMXY/AA_ASAP98_ctrl_NP16_119_PUT_S1"	"PUT"
"AA71_ASAP70_PD_NP18-304_PUT"	"AA71_ASAP70_PD_NP18-304_PUT"	"/path/to/backup/ysharma_fs1_jjlab/TEST_MissingFiles_Seq176/220620_A00681_0723_AHCCTGDMXY/HCCTGDMXY/outs/fastq_path/10X/Seq176_1"	"PUT"
"AA73_ASAP65_PD_NP16-269_PUT"	"AA73_ASAP65_PD_NP16-269_PUT"	"/path/to/backup/ysharma_fs1_jjlab/TEST_MissingFiles_Seq176/220620_A00681_0723_AHCCTGDMXY/HCCTGDMXY/outs/fastq_path/10X/Seq176_2"	"PUT"
"AA74_ASAP62_PD_NP16-140_PUT"	"AA74_ASAP62_PD_NP16-140_PUT"	"/path/to/backup/ysharma_fs1_jjlab/TEST_MissingFiles_Seq176/220620_A00681_0723_AHCCTGDMXY/HCCTGDMXY/outs/fastq_path/10X/Seq176_3"	"PUT"
"AA76_ASAP74_PD_NP19-255_PUT"	"AA76_ASAP74_PD_NP19-255_PUT"	"/path/to/backup/ysharma_fs1_jjlab/TEST_MissingFiles_Seq176/220620_A00681_0723_AHCCTGDMXY/HCCTGDMXY/outs/fastq_path/10X/Seq176_4"	"PUT"
"AA77_ASAP61_PD_NP16-25_PUT"	"AA77_ASAP61_PD_NP16-25_PUT"	"/path/to/backup/ysharma_fs1_jjlab/TEST_MissingFiles_Seq176/220620_A00681_0723_AHCCTGDMXY/HCCTGDMXY/outs/fastq_path/10X/Seq176_5"	"PUT"
"AA78_ASAP63_PD_NP16-160_PUT"	"AA78_ASAP63_PD_NP16-160_PUT"	"/path/to/backup/ysharma_fs1_jjlab/TEST_MissingFiles_Seq176/220620_A00681_0723_AHCCTGDMXY/HCCTGDMXY/outs/fastq_path/10X/Seq176_6"	"PUT"
"AA79_ASAP64_PD_NP16-162_PUT"	"AA79_ASAP64_PD_NP16-162_PUT"	"/path/to/backup/ysharma_fs1_jjlab/TEST_MissingFiles_Seq176/220620_A00681_0723_AHCCTGDMXY/HCCTGDMXY/outs/fastq_path/10X/Seq176_7"	"PUT"
"AA80_ASAP66_PD_NP17-94_PUT"	"AA80_ASAP66_PD_NP17-94_PUT"	"/path/to/backup/ysharma_fs1_jjlab/TEST_MissingFiles_Seq176/220620_A00681_0723_AHCCTGDMXY/HCCTGDMXY/outs/fastq_path/10X/Seq176_8"	"PUT"
"AA81_ASAP67_PD_NP17-191_PUT"	"AA81_ASAP67_PD_NP17-191_PUT"	"/path/to/backup/ysharma_fs5_jakobssonlab/CTG_JGJSeq176_177_175/HCWGVDMXY/outs/fastq_path/10X/Seq176_9"	"PUT"
"AA82_ASAP68_PD_NP18-117_PUT"	"AA82_ASAP68_PD_NP18-117_PUT"	"/path/to/backup/ysharma_fs5_jakobssonlab/CTG_JGJSeq176_177_175/HCWGVDMXY/outs/fastq_path/10X/Seq176_10"	"PUT"
"AA83_ASAP69_PD_NP18-287_PUT"	"AA83_ASAP69_PD_NP18-287_PUT"	"/path/to/backup/ysharma_fs5_jakobssonlab/CTG_JGJSeq176_177_175/HCWGVDMXY/outs/fastq_path/10X/Seq176_11"	"PUT"
"AA84_ASAP71_PD_NP19-16_PUT"	"AA84_ASAP71_PD_NP19-16_PUT"	"/path/to/backup/ysharma_fs5_jakobssonlab/CTG_JGJSeq176_177_175/HCWGVDMXY/outs/fastq_path/10X/Seq176_12"	"PUT"
"AA85_ASAP72_PD_NP19-23_PUT"	"AA85_ASAP72_PD_NP19-23_PUT"	"/path/to/backup/ysharma_fs5_jakobssonlab/CTG_JGJSeq176_177_175/HCWGVDMXY/outs/fastq_path/10X/Seq176_13"	"PUT"
"AA86_ASAP73_PD_NP19-108_PUT"	"AA86_ASAP73_PD_NP19-108_PUT"	"/path/to/backup/ysharma_fs5_jakobssonlab/CTG_JGJSeq176_177_175/HCWGVDMXY/outs/fastq_path/10X/Seq176_14"	"PUT"
"AA87_ASAP76_ctrl_NP18-159_PUT"	"AA87_ASAP76_ctrl_NP18-159_PUT"	"/path/to/backup/ysharma_fs5_jakobssonlab/CTG_JGJSeq176_177_175/HCWGVDMXY/outs/fastq_path/10X/Seq176_15"	"PUT"
