scores,logfoldchanges,pvals,pvals_adj,genes,stable_logfoldchange
26.011566,0.6033417,3.6641927204683917e-149,2.953614147151559e-145,CDH20,0.026840508
22.479527,0.622047,6.583710295461916e-112,1.5162755075469896e-108,RANBP3L,0.04320422
21.637482,0.6876128,7.974039464919668e-104,1.3531944971968676e-100,SLC39A11,0.025348445
20.477459,0.2793847,3.420363556529754e-93,4.411311286127554e-90,CNTN1,0.0144354785
19.41172,2.5095196,6.143605572116135e-84,5.826125719462957e-81,HPSE2,0.0836702
19.184052,0.120775074,5.030273457421302e-82,4.2681870286219747e-79,TNRC6A,0.004983009
19.142267,0.17448984,1.1227477174522582e-81,9.282244783029016e-79,NAV3,0.007991186
19.076082,0.40787235,3.9906974259016036e-81,3.0636204072225096e-78,CAMK2G,0.02434668
17.932827,0.27081805,6.537066301543386e-72,3.572451334926498e-69,ARHGEF4,0.016994076
17.384424,0.18073548,1.0826797955789984e-67,5.1336536248314185e-65,TNIK,0.009784547
17.109455,0.13704866,1.2617308277544252e-65,5.28337494536181e-63,RPS6KA2,0.0068437858
16.719542,0.09047189,9.444254845074953e-63,3.668808541804237e-60,MAPK10,0.00448195
16.659,0.4316126,2.6034297225815346e-62,9.87557465237605e-60,SPON1,0.027893176
16.635773,0.16230844,3.837741495819487e-62,1.4388406866245084e-59,ZBTB20,0.004818294
16.32657,0.19609272,6.387550154367854e-60,2.2145567701858358e-57,TRPM3,0.013348063
16.24805,0.27994338,2.3057717980771044e-59,7.825789482673692e-57,HIF3A,0.01918942
15.813254,0.09927344,2.521021368388161e-56,7.668423771786742e-54,NEBL,0.006293373
15.649955,,3.324550101541849e-55,9.321171210783813e-53,KCND2,0.045484222
15.550038,0.15967493,1.590108285827222e-54,4.272488454993927e-52,RORA,0.009486092
15.274836,0.062107842,1.1251219332945644e-52,2.70726167874751e-50,TRPS1,0.0031254923
15.190861,-0.018291438,4.065430905393082e-52,9.568006473181689e-50,ANK2,-0.00039853883
14.882486,0.4266296,4.282834820228065e-50,9.084963362408784e-48,FAM171A1,0.014154846
14.435451,0.15054856,3.0961444325132417e-47,5.577038264666171e-45,CTNND2,0.007282082
14.161668,0.17255001,1.581945099362627e-45,2.6292090638530507e-43,KCNN3,0.011343634
14.156388,0.10519479,1.705359735464661e-45,2.819790459004465e-43,NTRK2,0.0059611406
13.8354,-0.09447509,1.5586790501394751e-43,2.326689287668847e-41,SASH1,-0.004378091
13.575726,,5.578839425663606e-42,7.854957187845924e-40,DLGAP1,0.030185532
13.371816,0.09004597,8.835713962945864e-41,1.1723865238982037e-38,PDE4D,0.0021608907
13.078991,0.104680136,4.3416511538891184e-39,5.109045918060103e-37,MGAT4C,0.006471103
12.940076,0.0904054,2.673654559204241e-38,2.9726428949111155e-36,AHCYL2,0.0047505856
12.905455,0.2149123,4.193334723059603e-38,4.6303318998496845e-36,FMNL2,-0.003947582
12.83196,0.053663958,1.0858178775457664e-37,1.1592723783347069e-35,MAML2,0.0027674683
12.755914,0.012293145,2.8896636964532274e-37,2.9672428842274335e-35,ASB3,0.0005774022
12.753086,0.049383532,2.996439432450246e-37,3.0639721748026155e-35,OBI1-AS1,0.003515167
12.596662,0.5798262,2.2027101596540065e-36,2.1264066969378484e-34,MRAS,0.029075712
12.525076,0.049859703,5.443898029894223e-36,5.132386087072498e-34,PDE4DIP,0.0020901382
12.507659,0.6168112,6.779265868110533e-36,6.281145671996779e-34,WWOX,0.018675786
12.40613,0.102039054,2.42072493519477e-35,2.1209628827577435e-33,PHLPP1,-0.0014373729
12.374571,-0.031801812,3.588080238059789e-35,3.0605944739619517e-33,ZHX3,-0.0015058058
12.367194,-0.05165202,3.9332095933629805e-35,3.346133955641229e-33,GRAMD2B,-0.0031110784
12.365874,0.09941621,3.9983558501300704e-35,3.386339903753446e-33,ADCY2,0.0065859826
12.261226,-0.06293224,1.4627060985265133e-34,1.2000517235315617e-32,FUT9,-0.0028380095
12.018004,0.15078889,2.8579150507980013e-33,2.1232201608958517e-31,ADGRB3,0.0035060742
11.989142,0.13520066,4.050763044163447e-33,2.948278844987856e-31,CTNNA2,0.008194017
11.865907,-0.4596304,1.7796327902791334e-32,1.2366530184691832e-30,DPP6,0.039382458
11.616771,-2.311712,3.3869611721241953e-31,2.1287678181832442e-29,NCAM1,-0.0019532386
11.570702,0.1397213,5.80065222346893e-31,3.566996536475431e-29,ERBB4,0.005612386
11.319677,0.10547117,1.0485683344505526e-29,5.869616112446035e-28,GPM6A,0.006724476
11.295649,0.1643378,1.3788226925884083e-29,7.678303985687056e-28,PRKG1,0.010912885
11.079547,0.05933767,1.576685677224685e-28,8.120938704593534e-27,MIR99AHG,0.0027521912
11.079104,,1.5845010111515952e-28,8.148176411891688e-27,ZSWIM6,-0.008444333
11.042152,0.024053482,2.3923323900760387e-28,1.2147397362712081e-26,SOX5,0.0015497629
10.919994,,9.250165036359193e-28,4.399012850550582e-26,RGS6,0.04717135
10.70053,-0.03531056,1.0119757378562398e-26,4.415309027834742e-25,ATP1A2,-0.0024310441
10.538171,0.5585872,5.760848757064502e-26,2.3452909908337215e-24,PFKP,0.02852242
10.514488,1.0272363,7.40816820712315e-26,2.9857695937783963e-24,MAGI2,0.002256882
10.318047,-0.13147815,5.839909222729452e-25,2.1971551116507088e-23,NKAIN3,-0.008767866
10.226638,0.030897299,1.5065884262002355e-24,5.42153243593462e-23,MSI2,0.0017887141
9.807779,-0.5951532,1.042372220093659e-22,3.2378812613179044e-21,MT-CO2,0.023963775
9.6294985,-0.16931655,6.002193110554716e-22,1.7513910630191467e-20,NFIB,-0.0068733813
9.622669,0.77318805,6.414470716025262e-22,1.8599080872014618e-20,NWD1,0.046559017
9.609425,-0.08083008,7.295557323014173e-22,2.10591454580077e-20,ARHGAP26,-0.0042036125
9.594409,,8.439934751526134e-22,2.4167745665493532e-20,GSN,0.01827694
9.330011,0.29865408,1.0585966637525798e-20,2.752607437852777e-19,ADCY8,0.017184258
9.281724,0.7693982,1.6675872652925282e-20,4.2537987495907425e-19,LRRC4C,0.0046905885
9.160275,0.25834033,5.1764878970051314e-20,1.2702092790193033e-18,SSBP2,0.0037162262
8.950314,0.01844844,3.5447336521889093e-19,8.183473461102733e-18,PBX1,0.000370575
8.862104,-1.2849708,7.851788882004472e-19,1.7544367908695092e-17,MT-CYB,0.02380798
8.781852,0.9506457,1.6080437922193752e-18,3.484419085519443e-17,PLEKHA6,0.025429558
8.671753,0.32852095,4.2551966065034865e-18,8.81183713445677e-17,NDRG2,0.012346963
8.6518755,-0.09494804,5.06599869164219e-18,1.0404012472268735e-16,ABLIM1,-0.0061872536
8.556269,-0.027542278,1.1657903152257483e-17,2.306047676921706e-16,PDE7B,-0.0015410134
8.424785,4.3941283,3.6141515896688643e-17,6.862843916707491e-16,SLC24A4,0.04544823
8.339395,-0.29650033,7.46718832861622e-17,1.3797395603413913e-15,ASTN2,-0.008347374
8.318815,-0.113155104,8.884665592784708e-17,1.6332284646987305e-15,AL137139.2,-0.008051608
8.237657,,1.7561608105801521e-16,3.140537604855011e-15,TCF4,-0.012751083
8.168507,,3.1223129341307466e-16,5.453560993238226e-15,PDZRN4,0.037913203
8.136148,-0.100802034,4.0805025624924373e-16,7.092595370482138e-15,NHSL1,-0.006688752
8.039553,,9.016702301872025e-16,1.5245177363359186e-14,STK32A,0.045270734
7.9968495,-0.06852726,1.2764321307803861e-15,2.1368640286994804e-14,ACSBG1,-0.0044776304
7.995989,,1.2853788408118663e-15,2.148495073317626e-14,DAAM2,0.015396335
7.9718847,,1.5627238979015359e-15,2.5999435830773594e-14,KNOP1,0.021423282
7.6926384,0.4187147,1.4413117535962836e-14,2.1807702895919743e-13,MIR4300HG,0.023050588
7.674336,-0.20393099,1.6627766698688562e-14,2.50293688919615e-13,CARMIL1,-0.013205055
7.586273,-0.016443094,3.292382577018104e-14,4.80780305393092e-13,EYA2,-0.0010941385
7.487768,0.25977913,7.005464402817208e-14,9.954922377260258e-13,TPCN1,0.008850199
7.450795,0.80299383,9.277916678884559e-14,1.306893261150174e-12,CSRP1,0.020010922
7.4143863,0.23186179,1.2218911093330185e-13,1.7018330470075384e-12,AC106845.1,0.015066533
7.397433,-0.02645513,1.3884226352520874e-13,1.9205024036221814e-12,SLC25A18,-0.0017699267
7.388261,0.035747416,1.487617449257968e-13,2.0559472531686526e-12,TTYH1,0.0019323063
7.3315988,,2.274231378957685e-13,3.0927052868718954e-12,TNRC6B,-0.015236664
7.2795687,-1.1151476,3.348889655327976e-13,4.482285145568283e-12,PNISR,-0.018041793
7.24179,0.03155902,4.428015101768456e-13,5.827448609237564e-12,NPL,0.0018450534
7.193544,0.105425835,6.31307823445846e-13,8.227671039355058e-12,NR3C2,0.002622586
7.1885943,-1.036343,6.546164465847751e-13,8.517674772894633e-12,MT-ND4,0.013634475
