scores,logfoldchanges,pvals,pvals_adj,genes,stable_logfoldchange
15.390411,0.55636364,1.8982177726522799e-53,6.1204235643627455e-49,DOCK4,0.029055486
12.890793,1.0059854,5.071949373249248e-38,8.176743182083775e-34,DLEU1,0.06711821
8.899805,0.32633212,5.594487925714084e-19,3.00638456981332e-15,FOXN3,0.019629072
8.851774,0.21210918,8.613886446874265e-19,3.967679152950956e-15,ITPR2,0.013531741
8.81052,0.7861072,1.2456623627014672e-18,5.020486445072926e-15,HS3ST4,0.05636914
8.724528,0.95106965,2.6729226190583137e-18,9.575893778477466e-15,OXR1,0.043150138
8.634493,2.436666,5.898832739137203e-18,1.9019606400800084e-14,KHDRBS3,0.048131283
8.598849,2.1154501,8.05195580570035e-18,2.36017464584724e-14,PADI2,0.055185605
8.45271,2.293518,2.846167275884507e-17,7.647414289695347e-14,DSCAM,0.04232718
8.338411,0.77315927,7.529516304141779e-17,1.853766453057591e-13,SDK1,0.04567385
8.330516,1.5473521,8.049105338463007e-17,1.853766453057591e-13,CACNA1A,0.043476254
8.266565,0.47637215,1.378739036268476e-16,2.9636455164269645e-13,ARHGAP15,0.03497523
8.196333,0.21994951,2.478314578710037e-16,4.994268560084233e-13,FRMD4A,0.013689842
8.16761,0.2556202,3.145582117944236e-16,5.966059072286824e-13,DOCK8,0.018690724
7.930413,0.39727926,2.1841831875108777e-15,3.912478806384068e-12,SORL1,0.024471473
7.863665,,3.7305356424687766e-15,6.330718985269514e-12,RTTN,0.05032596
7.7989955,0.68456465,6.240191202697052e-15,9.58107071183624e-12,HDAC9,0.032922816
7.7367873,2.4390693,1.0196057433391488e-14,1.4943249082947352e-11,UST,0.05343723
7.338171,1.0320807,2.1653240094794394e-13,2.6852516168325216e-10,CTTNBP2NL,0.05213368
7.1440334,0.5581863,9.063119059734891e-13,1.0823042512704892e-09,RAPGEF1,0.032753862
7.015397,-0.56907403,2.2929645297311833e-12,2.549381218349053e-09,ARHGAP21,0.046225436
6.6851273,3.6869545,2.3072406845745583e-11,2.3997535933141124e-08,ZSWIM6,0.02301301
6.6164136,0.6494284,3.6801788763556636e-11,3.7081252346979894e-08,AL163541.1,0.047013048
6.6065836,0.7541848,3.932901553658557e-11,3.842683175594329e-08,MYO9B,0.030062579
6.5570183,0.7997964,5.489426350687943e-11,5.205752171330334e-08,SYNDIG1,0.03726341
6.5386534,0.8728104,6.207530486024359e-11,5.7034766266297384e-08,FAM149A,0.060421187
6.534833,0.72409177,6.368053796441727e-11,5.7034766266297384e-08,PICALM,0.025046095
6.367772,0.7711232,1.9179373735779857e-10,1.6205371921966324e-07,BLNK,0.056321014
6.3644314,0.8247556,1.9601448530120852e-10,1.6205371921966324e-07,TBC1D4,0.046295222
6.2747474,-0.7440478,3.502028565622211e-10,2.8228976760339236e-07,AKT3,0.042924117
6.231975,,4.6059113198890515e-10,3.6221560655410414e-07,ATP1B3,0.045616865
6.19769,-0.47981817,5.729783797143651e-10,4.398700451697684e-07,SLC22A23,0.037880033
6.1295996,-1.4044986,8.810044660375927e-10,6.60609930196514e-07,MT-ND3,0.033694535
5.9590383,-3.1004188,2.5372672200820107e-09,1.7784588473283537e-06,DENND5A,0.03483338
5.9194627,,3.2299500138532106e-09,2.2158144318440226e-06,SSBP2,0.031592682
5.8501735,-0.9932893,4.910600879247387e-09,3.2587142731893515e-06,FOXP1,0.035622366
5.8487673,0.67055535,4.9522997049368305e-09,3.2587142731893515e-06,USP6NL,0.039815165
5.7749705,0.29088143,7.696652476531539e-09,4.963263316016128e-06,SFMBT2,0.018680708
5.756877,4.169259,8.568423931889651e-09,5.41709201639055e-06,LINC02397,0.12718563
5.739407,0.96770287,9.500864650130504e-09,5.891084209887651e-06,CARD11,0.06852245
5.7292895,0.8751174,1.0085224600296843e-08,6.135432014856059e-06,TTC7A,0.028906643
5.6877,0.58548105,1.2876183918226872e-08,7.68827403843313e-06,CAPZB,0.02764687
5.6781898,3.1934633,1.3612775753200807e-08,7.980304156553703e-06,NEDD4L,0.03289491
5.621064,,1.897848502468537e-08,1.09272016544809e-05,CREBRF,0.036536187
5.6087728,0.85007197,2.0376647489114597e-08,1.1526390263009158e-05,CIITA,0.060105808
5.597808,-2.7044818,2.170791146165834e-08,1.2067727401004308e-05,KMT2E,0.030518463
5.559911,1.037619,2.699127779299738e-08,1.4504662831326908e-05,VASH1,0.04738489
5.548866,-2.6666074,2.8752849931559716e-08,1.5198002300709506e-05,BNIP3L,0.03446534
5.505151,0.071401805,3.688526151237754e-08,1.9182120757154663e-05,PLXDC2,0.0045340694
5.492092,0.24584702,3.972002404433316e-08,2.0233016783253157e-05,AKAP13,0.0167221
5.4839563,-0.9940913,4.159173560004117e-08,2.0631420476186576e-05,ITPKB,0.031224655
5.4751654,-2.8001492,4.3710319517556346e-08,2.135381563946317e-05,HP1BP3,0.032582704
5.4250245,1.3060071,5.7946530283751946e-08,2.7476029057926678e-05,TET2,0.03149206
5.4073787,-2.75181,6.395381105769314e-08,2.9884967100481156e-05,SPPL3,0.03169683
5.3736534,1.1867601,7.715716686613551e-08,3.45524796009001e-05,RAPH1,0.040115774
5.3060584,0.5049828,1.1202106671115406e-07,4.947801717764028e-05,SRGAP2B,0.03574686
5.2775435,-0.32014316,1.3092705777435277e-07,5.7047042213762926e-05,MIR99AHG,0.034476254
5.259642,-0.41785994,1.4433619398188182e-07,6.0602441296913454e-05,MAN2A1,0.026725205
5.2591624,1.0813351,1.4471303644748367e-07,6.0602441296913454e-05,LYST,0.029055823
5.259146,0.44588706,1.4472561423758136e-07,6.0602441296913454e-05,ATP8B4,0.03270931
5.237728,0.65644795,1.6256510576746168e-07,6.719982955461881e-05,RASGEF1C,0.044584557
5.2127137,0.45517227,1.8609775171908902e-07,7.59537950465644e-05,ANKRD44,0.022614855
5.2082386,1.3143991,1.906417624480543e-07,7.683577933265769e-05,ATG16L2,0.05177633
5.202149,3.0437264,1.969974442969396e-07,7.841714316624967e-05,MALT1,0.04232
5.1956434,1.5350052,2.0401299171419468e-07,8.021940112000951e-05,PPP6R2,0.029840058
5.1456466,0.5542196,2.66600947797966e-07,0.0001023335042839264,FMNL3,0.03274344
5.137383,5.5680304,2.785907674632145e-07,0.00010444886180600494,HSPA1B,0.039031647
5.1279526,0.17076065,2.929100449916197e-07,0.00010855515609959535,ARHGAP24,0.012208668
5.122582,,3.013796878252606e-07,0.00010918410420842558,JARID2,0.03105685
5.050288,1.1483104,4.4114411370155333e-07,0.0001563056006382328,PDGFB,0.07184432
5.0421367,1.2189136,4.6036272157982645e-07,0.00016134212208585157,HPS3,0.04248917
4.9922194,1.0103097,5.968934288222946e-07,0.00020694230995179836,ARL5A,0.037482273
4.9746695,1.8523977,6.535904455879152e-07,0.00022418847592650158,AC007262.2,0.036866985
4.9588456,1.7104361,7.091325357396602e-07,0.00024067958263004067,IQGAP2,0.07557316
4.9279814,0.6212651,8.308356596117525e-07,0.00027904827263397643,CPED1,0.04456405
4.9257755,,8.402640252072596e-07,0.0002793054944820378,PPP2R5C,0.03002131
4.9192543,-0.5121,8.687457254313915e-07,0.00028582620841922815,SREBF2,0.030439151
4.9016085,1.5416782,9.505522806539941e-07,0.00030698579333731226,MAD1L1,0.033760898
4.9012885,,9.521005903213481e-07,0.00030698579333731226,KIF26B,0.03583863
4.879263,-0.25953972,1.0648291000879784e-06,0.00033722874215438847,ZHX2,0.029338459
4.8788958,-2.040856,1.066815485523916e-06,0.00033722874215438847,SNX9,0.02907133
4.8754272,0.4597459,1.0857329865009663e-06,0.0003398765891626277,JAZF1,0.019355047
4.86678,,1.1343121792995872e-06,0.0003516694961265057,CREBBP,0.029751444
