scores,logfoldchanges,pvals,pvals_adj,genes,stable_logfoldchange
29.481863,,4.9181455919163085e-191,5.285858944005251e-187,MT-ND3,0.080812976
28.734783,0.37970927,1.4034367438735448e-181,9.05020218654294e-178,NEGR1,0.021233149
28.247902,8.08597,1.5103733331741753e-175,8.116494563589156e-172,MT-ND4,0.074165806
26.57476,0.9246737,1.3291877966073668e-155,4.76188912511237e-152,LSAMP,0.023402428
26.193913,0.25952524,3.117641048210322e-151,1.005221003174454e-147,MAP2,0.016803188
25.94051,0.6232001,2.326770176424551e-148,6.2518375665380664e-145,AC092691.1,0.028800271
25.771725,0.26576006,1.840357726674068e-146,4.238475298653713e-143,ANK3,0.010920225
25.764036,2.0899818,2.2442875637351737e-146,4.824170927834214e-143,PWRN4,0.15194356
25.633852,0.5711755,6.400883784383331e-145,1.2898980991241983e-141,MIR137HG,0.04124889
24.653751,1.1064231,3.354619891595808e-134,6.362529950866097e-131,FLRT2,0.0556361
23.44875,0.1463241,1.3612941151985757e-121,1.9951002798339856e-118,SYT1,0.0103249205
23.097572,2.4352872,4.897527645247793e-118,6.865694950683678e-115,MT-CO2,0.048362143
22.863321,0.018909615,1.077156037091294e-115,1.3892296841573837e-112,RBFOX1,0.0012884345
22.754324,1.4128731,1.300284791814271e-114,1.552780834906205e-111,MT-ATP6,0.04784648
22.56904,-0.052556023,8.732067927914354e-113,1.0055288078562233e-109,AC109466.1,-0.0037193575
22.306746,0.5306645,3.177998473093824e-110,3.5333863713091094e-107,ST6GALNAC5,0.037214972
21.953566,1.4795877,8.00672847143554e-107,8.60536487014987e-104,MT-CYB,0.048869476
21.787228,1.5198243,3.0666575664313646e-105,3.1896206424014996e-102,MT-ND2,0.05122189
21.41303,0.6830312,1.0102470910469953e-101,9.580410869596551e-99,ZNF804A,0.046659425
21.272278,0.16230796,2.0507812369699517e-100,1.8367594284339485e-97,CSMD3,0.010169866
21.092417,1.6477096,9.336880855360788e-99,7.922343405773628e-96,HP1BP3,0.03777114
21.066084,1.2568767,1.6285907448959778e-98,1.3464269586584874e-95,MT-CO1,0.039692864
21.029482,-0.6660665,3.5247993051288906e-98,2.771953755982215e-95,PDE4B,0.06802756
21.024939,1.5445284,3.8789962695233656e-98,2.9778684932914732e-95,MT-CO3,0.045345735
20.811705,1.3844011,3.3906573557971766e-96,2.484658298249281e-93,MT-ND1,0.05529667
20.757244,0.1993784,1.0544442570248472e-95,7.555210262056033e-93,ADGRB3,0.008740115
20.704962,3.3953161,3.12477356466859e-95,2.190262479252377e-92,HCN1,0.109501824
20.457973,0.17105094,5.101574069557986e-93,3.225295151465846e-90,GRID2,0.010077986
20.328487,3.4300153,7.198651213547493e-92,4.2982613162668854e-89,SLC35F1,0.08034343
20.290104,-3.2552757,1.572650183904113e-91,9.219447250840056e-89,MAGI2,0.01675304
19.760342,0.17372327,6.536085527437511e-87,3.3990807364704465e-84,NLGN1,0.0078008147
19.564342,,3.113903789839165e-85,1.54463999839668e-82,NCAM1,0.016849425
19.089115,0.121368915,3.1098699053031515e-81,1.4324505050955645e-78,LRRC4C,0.0069724987
19.048466,1.7931594,6.765674153676553e-81,3.0724736864365225e-78,PRKG1,0.067198485
18.839378,0.30295187,3.5915847119196835e-79,1.5863488474852924e-76,PTPRO,0.021818042
18.76179,0.19468133,1.5509092238295834e-78,6.579732382097008e-76,GABRB1,0.012198266
18.69542,0.70821553,5.394446146640154e-78,2.2588717805989416e-75,UNC5C,0.01674454
18.66946,0.35563326,8.77353909132086e-78,3.543253522422709e-75,DLG2,0.0101215355
18.669352,0.8712992,8.79137430740988e-78,3.543253522422709e-75,RUNX1T1,0.044925686
18.653648,0.38654009,1.1794800657363355e-77,4.695058735745267e-75,APP,0.013645037
18.597523,0.049837366,3.3650276399505526e-77,1.3231534901820204e-74,NRXN3,0.0024632672
18.230774,0.35636166,2.941284902685159e-74,1.0900672312330756e-71,NAV3,0.015165924
18.05172,0.9963961,7.647132745506446e-73,2.7095219902567512e-70,DPH6-DT,0.045862623
17.937855,0.28831294,5.971633580154505e-72,2.0703589411281904e-69,TNRC6A,0.011599053
17.716692,-0.8042822,3.1171178372702046e-70,1.0469294836156584e-67,NCAM2,0.020602414
