scores,logfoldchanges,pvals,pvals_adj,genes,stable_logfoldchange
2.738613,6.93697,0.00616989932054416,1.0,OLFM3,0.3219936
2.738613,,0.00616989932054416,1.0,SLCO3A1,0.23795491
2.5560386,,0.010587137334056945,1.0,PLEKHM3,0.25839522
2.3734643,6.7449384,0.017622090962324432,1.0,RYR2,0.19398835
2.2821772,,0.022478873366125265,1.0,DYNC1I2,0.24591345
2.2821772,,0.022478873366125265,1.0,LINC02245,0.2872478
2.2821772,,0.022478873366125265,1.0,CCDC148,0.3392907
2.2821772,,0.022478873366125265,1.0,GARS-DT,0.23711993
2.2821772,,0.022478873366125265,1.0,FAM49A,0.2613835
2.1908903,,0.028459736916310565,1.0,MBD5,0.15555094
2.1908903,,0.028459736916310565,1.0,WASF1,0.22891687
2.1908903,,0.028459736916310565,1.0,TFDP2,0.21319456
2.1908903,1.6526049,0.028459736916310565,1.0,ADAM23,0.10811395
2.1908903,4.2248034,0.028459736916310565,1.0,CDH8,0.2011353
2.0996032,-1.8737032,0.03576376659097789,1.0,NPAS3,0.19999668
2.008316,2.4007435,0.044609718024939606,1.0,CTIF,0.07848702
2.008316,,0.044609718024939606,1.0,PLXDC2,0.09977109
2.008316,5.879377,0.044609718024939606,1.0,COL19A1,0.37510455
2.008316,,0.044609718024939606,1.0,SUMF1,0.1891459
2.008316,,0.044609718024939606,1.0,UBE2E2,0.14828913
2.008316,-4.7572002,0.044609718024939606,1.0,PTK2,0.125343
2.008316,2.6241753,0.044609718024939606,1.0,CEP112,0.1529082
2.008316,2.9096472,0.044609718024939606,1.0,PLEKHA5,0.10898364
2.008316,2.2938838,0.044609718024939606,1.0,SEZ6L,0.14855152
2.008316,3.8020291,0.044609718024939606,1.0,EPB41,0.21368985
2.008316,3.577204,0.044609718024939606,1.0,PHACTR2,0.21129748
1.9170289,3.692562,0.05523425371806383,1.0,GUCY1A2,0.15778868
1.9170289,,0.05523425371806383,1.0,PDZD2,0.14184536
1.9170289,,0.05523425371806383,1.0,SOS1,0.14977223
1.8257419,,0.06788915486182899,1.0,AC124852.1,0.23339806
1.8257419,3.5370872,0.06788915486182899,1.0,ABR,0.10879785
1.8257419,,0.06788915486182899,1.0,HNRNPH3,0.20802072
1.8257419,1.7304624,0.06788915486182899,1.0,GABRB3,0.10264262
1.8257419,,0.06788915486182899,1.0,MIR181A1HG,0.17068931
1.8257419,,0.06788915486182899,1.0,SOS2,0.20744485
1.8257419,,0.06788915486182899,1.0,SLC12A6,0.20177096
1.8257419,,0.06788915486182899,1.0,HMCN1,0.74686843
1.8257419,,0.06788915486182899,1.0,IFT172,0.19804241
1.8257419,,0.06788915486182899,1.0,SYT16,0.21667098
1.8257419,3.7688954,0.06788915486182899,1.0,SPIRE1,0.1252763
1.8257419,,0.06788915486182899,1.0,PVT1,0.2587664
1.8257419,,0.06788915486182899,1.0,HDAC4,0.21036561
1.8257419,,0.06788915486182899,1.0,CDC42BPA,0.09507889
1.8257419,,0.06788915486182899,1.0,EIF2B3,0.22299546
1.8257419,,0.06788915486182899,1.0,FILIP1,0.39223146
1.8257419,,0.06788915486182899,1.0,SQSTM1,0.213558
1.8257419,,0.06788915486182899,1.0,SLC38A6,0.2095554
1.8257419,2.4929338,0.06788915486182899,1.0,KCNJ6,0.17054813
1.8257419,,0.06788915486182899,1.0,TPM1,0.2138641
1.8257419,,0.06788915486182899,1.0,TARSL2,0.1811292
1.8257419,,0.06788915486182899,1.0,GAREM1,0.100722805
1.8257419,,0.06788915486182899,1.0,BZW1,0.2619781
1.7344548,,0.0828374251588063,1.0,USP25,0.14444432
1.7344548,4.7072144,0.0828374251588063,1.0,SOGA1,0.1564709
1.7344548,,0.0828374251588063,1.0,VTI1A,0.1322945
1.7344548,0.9049408,0.0828374251588063,1.0,DGKI,0.05062605
1.7344548,,0.0828374251588063,1.0,FNIP1,0.13489175
1.7344548,3.0760293,0.0828374251588063,1.0,AC024901.1,0.21252117
1.7344548,,0.0828374251588063,1.0,GPBP1,0.13063796
1.7344548,,0.0828374251588063,1.0,RAPGEF5,0.14458528
1.6431676,,0.10034824646229075,1.0,LIMCH1,0.10606975
1.6431676,,0.10034824646229075,1.0,SASH1,0.17658862
1.6431676,,0.10034824646229075,1.0,PIK3C2A,0.14649892
1.6431676,,0.10034824646229075,1.0,HECTD2,0.17104436
1.6431676,,0.10034824646229075,1.0,PPP2R2B,0.10472639
1.6431676,1.2090508,0.10034824646229075,1.0,KCNIP4,0.07636579
1.6431676,,0.10034824646229075,1.0,ZNF131,0.14728646
1.6431676,,0.10034824646229075,1.0,ASB3,0.14871117
1.6431676,,0.10034824646229075,1.0,BTRC,0.09586378
1.6431676,,0.10034824646229075,1.0,MCPH1,0.15304974
1.6431676,8.575497,0.10034824646229075,1.0,GPR158,0.21034732
1.6431676,,0.10034824646229075,1.0,CLASP2,0.16145808
1.6431676,,0.10034824646229075,1.0,PTPRD,0.086375505
1.6431676,,0.10034824646229075,1.0,CAMK4,0.17764126
1.6431676,,0.10034824646229075,1.0,ABLIM1,0.17719717
1.6431676,,0.10034824646229075,1.0,LMO7,0.17616235
1.6431676,,0.10034824646229075,1.0,EML2,0.16857496
1.6431676,,0.10034824646229075,1.0,C20orf194,0.11854413
1.6431676,1.9993521,0.10034824646229075,1.0,ARHGEF11,0.10389974
1.6431676,,0.10034824646229075,1.0,SNX29,0.17079704
1.6431676,,0.10034824646229075,1.0,UBE2D2,0.17284422
1.6431676,,0.10034824646229075,1.0,TLK1,0.14990385
1.6431676,,0.10034824646229075,1.0,TAOK3,0.08507253
