sample	celltype	condition	cellline
ASAP_ctrl_Rep1_bulkRNA_vMBneurons_KOLF_day52_S47	neurons	ctrl	KOLF
ASAP_ctrl_Rep2_bulkRNA_vMBneurons_KOLF_day52_S9	neurons	ctrl	KOLF
ASAP_ctrl_Rep3_bulkRNA_vMBneurons_KOLF_day52_S10	neurons	ctrl	KOLF
ASAP_IFNg_Rep1_bulkRNA_vMBneurons_KOLF_day52_S32	neurons	IFNg	KOLF
ASAP_IFNg_Rep2_bulkRNA_vMBneurons_KOLF_day52_S33	neurons	IFNg	KOLF
ASAP_IFNg_Rep3_bulkRNA_vMBneurons_KOLF_day52_S34	neurons	IFNg	KOLF
ASAP_PolyIC_Rep1_bulkRNA_vMBneurons_KOLF_day52_S44	neurons	PolyIC	KOLF
ASAP_PolyIC_Rep2_bulkRNA_vMBneurons_KOLF_day52_S45	neurons	PolyIC	KOLF
ASAP_PolyIC_Rep3_bulkRNA_vMBneurons_KOLF_day52_S46	neurons	PolyIC	KOLF
ASAP_TNFa_Rep1_bulkRNA_vMBneurons_KOLF_day52_S35	neurons	TNFa	KOLF
ASAP_TNFa_Rep2_bulkRNA_vMBneurons_KOLF_day52_S36	neurons	TNFa	KOLF
ASAP_TNFa_Rep3_bulkRNA_vMBneurons_KOLF_day52_S37	neurons	TNFa	KOLF
ASAP_ctrl_Rep1_bulkRNA_vMBneurons_RC17_day52_S28	neurons	ctrl	RC17
ASAP_ctrl_Rep2_bulkRNA_vMBneurons_RC17_day52_S11	neurons	ctrl	RC17
ASAP_ctrl_Rep3_bulkRNA_vMBneurons_RC17_day52_S12	neurons	ctrl	RC17
ASAP_IFNg_Rep1_bulkRNA_vMBneurons_RC17_day52_S13	neurons	IFNg	RC17
ASAP_IFNg_Rep2_bulkRNA_vMBneurons_RC17_day52_S14	neurons	IFNg	RC17
ASAP_IFNg_Rep3_bulkRNA_vMBneurons_RC17_day52_S15	neurons	IFNg	RC17
ASAP_PolyIC_Rep1_bulkRNA_vMBneurons_RC17_day52_S25	neurons	PolyIC	RC17
ASAP_PolyIC_Rep2_bulkRNA_vMBneurons_RC17_day52_S26	neurons	PolyIC	RC17
ASAP_PolyIC_Rep3_bulkRNA_vMBneurons_RC17_day52_S27	neurons	PolyIC	RC17
ASAP_TNFa_Rep1_bulkRNA_vMBneurons_RC17_day52_S16	neurons	TNFa	RC17
ASAP_TNFa_Rep2_bulkRNA_vMBneurons_RC17_day52_S17	neurons	TNFa	RC17
ASAP_TNFa_Rep3_bulkRNA_vMBneurons_RC17_day52_S18	neurons	TNFa	RC17
AT_01_H9_microglia_non_treated_S1	microglia	ctrl	H9
AT_02_H9_microglia_non_treated_S2	microglia	ctrl	H9
AT_03_H9_microglia_non_treated_S3	microglia	ctrl	H9
AT_10_H9_microglia_IFN_gamma_S7	microglia	IFNg	H9
AT_11_H9_microglia_IFN_gamma_S8	microglia	IFNg	H9
AT_12_H9_microglia_IFN_gamma_S9	microglia	IFNg	H9
AT_13_H9_microglia_TNF_alpha_S22	microglia	TNFa	H9
AT_14_H9_microglia_TNF_alpha_S23	microglia	TNFa	H9
AT_15_H9_microglia_TNF_alpha_S24	microglia	TNFa	H9
AT_22_H9_microglia_Poly_IC_S29	microglia	PolyIC	H9
AT_23_H9_microglia_Poly_IC_S30	microglia	PolyIC	H9
AT_24_H9_microglia_Poly_IC_S31	microglia	PolyIC	H9
