Geneid,Chr,Start,End,Strand,Length,DA778_ASAP31_PD_NP18-117_AMY_0,DA791_ASAP50_ctrl_NP18-159_AMY_0,DA780_ASAP37_PD_NP19-16_AMY_0,DA783_ASAP45_PD_NP19-255_AMY_0,DA793_ASAP53_ctrl_NP19-36_AMY_0,DA811_ASAP18_PD_NP16-140_AMY_0,DA805_ASAP56_ctrl_NP19-37_AMY_0,AA_ASAP110_ctrl_NP16-119_AMY_0,AA_ASAP114_PD_NP21-57_AMY_0,AA_ASAP115_PD_NP21-208_AMY_0,DA474_ASAP24_PD_NP16-25_AMY_0,DA802_ASAP40_PD_NP19-23_AMY_0,AA_ASAP121_PD_NP17-232_AMY_1,AA_ASAP126_PD_NP19-137_AMY_1,AA_ASAP123_ctrl_NP19-218_AMY_1,AA_ASAP128_PD_NP21-04_AMY_1,AA_ASAP124_ctrl_NP22-37_AMY_1,AA_ASAP131_PD_NP23-21_AMY_1,DA778_ASAP31_PD_NP18-117_AMY_1,DA791_ASAP50_ctrl_NP18-159_AMY_1,DA780_ASAP37_PD_NP19-16_AMY_1,DA783_ASAP45_PD_NP19-255_AMY_1,DA793_ASAP53_ctrl_NP19-36_AMY_1,DA811_ASAP18_PD_NP16-140_AMY_1,DA805_ASAP56_ctrl_NP19-37_AMY_1,AA_ASAP110_ctrl_NP16-119_AMY_1,AA_ASAP113_ctrl_NP18-148_AMY_1,AA_ASAP114_PD_NP21-57_AMY_1,AA_ASAP115_PD_NP21-208_AMY_1,AA_ASAP109_PD_NP21-217_AMY_1,AA_ASAP119_PD_NP22-55_AMY_1,DA474_ASAP24_PD_NP16-25_AMY_1,DA512_ASAP60_ctrl_NP19-45_AMY_1,DA802_ASAP40_PD_NP19-23_AMY_1,DA801_ASAP53_ctrl_NP19-36_AMY_1,AA_ASAP112_ctrl_NP16-293_AMY_2,AA_ASAP120_PD_NP16-285_AMY_2,AA_ASAP121_PD_NP17-232_AMY_2,ASAP122_PD_NP19-91_AMY_2,AA_ASAP126_PD_NP19-137_AMY_2,AA_ASAP123_ctrl_NP19-218_AMY_2,AA_ASAP128_PD_NP21-04_AMY_2,AA_ASAP124_ctrl_NP22-37_AMY_2,AA_ASAP131_PD_NP23-21_AMY_2,DA778_ASAP31_PD_NP18-117_AMY_2,DA791_ASAP50_ctrl_NP18-159_AMY_2,DA780_ASAP37_PD_NP19-16_AMY_2,DA783_ASAP45_PD_NP19-255_AMY_2,DA793_ASAP53_ctrl_NP19-36_AMY_2,DA811_ASAP18_PD_NP16-140_AMY_2,DA807_ASAP29_PD_NP17-191_AMY_2,DA814_ASAP35_PD_NP18-304_AMY_2,DA805_ASAP56_ctrl_NP19-37_AMY_2,AA_ASAP110_ctrl_NP16-119_AMY_2,AA_ASAP113_ctrl_NP18-148_AMY_2,AA_ASAP114_PD_NP21-57_AMY_2,AA_ASAP115_PD_NP21-208_AMY_2,AA_ASAP109_PD_NP21-217_AMY_2,AA_ASAP119_PD_NP22-55_AMY_2,DA474_ASAP24_PD_NP16-25_AMY_2,DA512_ASAP60_ctrl_NP19-45_AMY_2,DA802_ASAP40_PD_NP19-23_AMY_2,DA801_ASAP53_ctrl_NP19-36_AMY_2,AA_ASAP111_ctrl_NP16-284_AMY_3,AA_ASAP112_ctrl_NP16-293_AMY_3,AA_ASAP120_PD_NP16-285_AMY_3,AA_ASAP121_PD_NP17-232_AMY_3,ASAP122_PD_NP19-91_AMY_3,AA_ASAP123_ctrl_NP19-218_AMY_3,AA_ASAP128_PD_NP21-04_AMY_3,AA_ASAP124_ctrl_NP22-37_AMY_3,AA_ASAP131_PD_NP23-21_AMY_3,DA778_ASAP31_PD_NP18-117_AMY_3,DA791_ASAP50_ctrl_NP18-159_AMY_3,DA780_ASAP37_PD_NP19-16_AMY_3,DA783_ASAP45_PD_NP19-255_AMY_3,DA793_ASAP53_ctrl_NP19-36_AMY_3,DA811_ASAP18_PD_NP16-140_AMY_3,DA807_ASAP29_PD_NP17-191_AMY_3,DA805_ASAP56_ctrl_NP19-37_AMY_3,AA_ASAP110_ctrl_NP16-119_AMY_3,AA_ASAP113_ctrl_NP18-148_AMY_3,AA_ASAP114_PD_NP21-57_AMY_3,AA_ASAP115_PD_NP21-208_AMY_3,AA_ASAP109_PD_NP21-217_AMY_3,AA_ASAP119_PD_NP22-55_AMY_3,DA474_ASAP24_PD_NP16-25_AMY_3,DA512_ASAP60_ctrl_NP19-45_AMY_3,DA803_ASAP48_ctrl_NP17-256_AMY_3,DA802_ASAP40_PD_NP19-23_AMY_3,DA801_ASAP53_ctrl_NP19-36_AMY_3,AA_ASAP112_ctrl_NP16-293_AMY_4,AA_ASAP126_PD_NP19-137_AMY_4,AA_ASAP123_ctrl_NP19-218_AMY_4,AA_ASAP131_PD_NP23-21_AMY_4,DA778_ASAP31_PD_NP18-117_AMY_4,DA791_ASAP50_ctrl_NP18-159_AMY_4,DA783_ASAP45_PD_NP19-255_AMY_4,DA793_ASAP53_ctrl_NP19-36_AMY_4,DA811_ASAP18_PD_NP16-140_AMY_4,DA807_ASAP29_PD_NP17-191_AMY_4,DA805_ASAP56_ctrl_NP19-37_AMY_4,AA_ASAP110_ctrl_NP16-119_AMY_4,AA_ASAP113_ctrl_NP18-148_AMY_4,AA_ASAP114_PD_NP21-57_AMY_4,AA_ASAP115_PD_NP21-208_AMY_4,AA_ASAP119_PD_NP22-55_AMY_4,DA474_ASAP24_PD_NP16-25_AMY_4,DA512_ASAP60_ctrl_NP19-45_AMY_4,DA802_ASAP40_PD_NP19-23_AMY_4,DA801_ASAP53_ctrl_NP19-36_AMY_4,AA_ASAP112_ctrl_NP16-293_AMY_5,AA_ASAP120_PD_NP16-285_AMY_5,AA_ASAP121_PD_NP17-232_AMY_5,ASAP122_PD_NP19-91_AMY_5,AA_ASAP126_PD_NP19-137_AMY_5,AA_ASAP123_ctrl_NP19-218_AMY_5,AA_ASAP128_PD_NP21-04_AMY_5,AA_ASAP124_ctrl_NP22-37_AMY_5,AA_ASAP131_PD_NP23-21_AMY_5,DA778_ASAP31_PD_NP18-117_AMY_5,DA791_ASAP50_ctrl_NP18-159_AMY_5,DA779_ASAP33_PD_NP18-287_AMY_5,DA780_ASAP37_PD_NP19-16_AMY_5,DA783_ASAP45_PD_NP19-255_AMY_5,DA793_ASAP53_ctrl_NP19-36_AMY_5,DA811_ASAP18_PD_NP16-140_AMY_5,DA807_ASAP29_PD_NP17-191_AMY_5,DA814_ASAP35_PD_NP18-304_AMY_5,DA815_ASAP37_PD_NP19-16_AMY_5,DA805_ASAP56_ctrl_NP19-37_AMY_5,AA_ASAP110_ctrl_NP16-119_AMY_5,AA_ASAP113_ctrl_NP18-148_AMY_5,AA_ASAP114_PD_NP21-57_AMY_5,AA_ASAP115_PD_NP21-208_AMY_5,AA_ASAP109_PD_NP21-217_AMY_5,AA_ASAP119_PD_NP22-55_AMY_5,DA474_ASAP24_PD_NP16-25_AMY_5,DA512_ASAP60_ctrl_NP19-45_AMY_5,DA800_ASAP20_PD_NP16-160_AMY_5,DA803_ASAP48_ctrl_NP17-256_AMY_5,DA802_ASAP40_PD_NP19-23_AMY_5,DA801_ASAP53_ctrl_NP19-36_AMY_5
HERV_dup1,chr10,100380920,100388398,+,7479,0.00797872340425532,0.02,0.0588235294117647,0.0252365930599369,0.04375,0.0714285714285714,0.0288135593220339,0.00646551724137931,0,0.0135440180586907,0.0306406685236769,0.0101010101010101,0,0.00166898470097357,0,0,0.032258064516129,0.0116279069767442,0.00657894736842105,0.0340136054421769,0.0948275862068965,0.0155038759689922,0.0620689655172414,0,0.0490196078431373,0.0226757369614512,0,0.0204081632653061,0.00557620817843866,0,0.0309278350515464,0.0233236151603499,0.00288184438040346,0.01,0.0119047619047619,0.0539956803455724,0.0445544554455446,0.0343007915567282,0,0.0422374429223744,0.0464135021097046,0.0733333333333333,0.0509090909090909,0.0592334494773519,0.188034188034188,0.231884057971014,0.305194805194805,0.0855614973262032,0.12962962962963,0.12621359223301,0.0890688259109312,0.0714285714285714,0.0933098591549296,0.128137384412153,0.0681818181818182,0.111553784860558,0.067524115755627,0.00588235294117647,0.0920245398773006,0.15807560137457,0.0641025641025641,0.0681818181818182,0.160621761658031,0.0130718954248366,0,0,0.00568181818181818,0.0227272727272727,0.0114068441064639,0,0.0220264317180617,0.00813008130081301,0.0670391061452514,0.0087719298245614,0.0949367088607595,0,0.033457249070632,0.0263157894736842,0.0431034482758621,0.00900900900900901,0.0377358490566038,0.009375,0.003003003003003,0.0151515151515152,0,0.0636942675159236,0.0851063829787234,0.0132450331125828,0,0.0178571428571429,0.0348837209302326,0,0.0137693631669535,0.0110619469026549,0,0.0839160839160839,0.072289156626506,0,0.0273037542662116,0.0376344086021505,0.0442477876106195,0.0378006872852234,0.0239234449760766,0.016025641025641,0.0408858603066439,0.00625,0.0392749244712991,0.0743801652892562,0,0.027027027027027,0.0184331797235023,0.207379134860051,0.232142857142857,0.219047619047619,0.0977742448330684,0.0678981527708437,0.0702515177797051,0.162650602409639,0.141093474426808,0.199395770392749,0.241935483870968,0.166666666666667,0.28125,0.605337078651685,0.0351758793969849,0.190831556503198,0.5,0.438647342995169,0.165745856353591,0.562913907284768,0.104952830188679,0.0444444444444444,0.0946708463949843,0.0913804277381724,0.0866290018832392,0.0734463276836158,0.242274412855377,0.266047297297297,0.0727272727272727,0.376068376068376,0.196428571428571,0.108433734939759,0.26015037593985
HERV_dup1000,chr16,2660262,2670537,-,10276,0.74468085106383,0.885,2.08823529411765,1.11356466876972,1.09375,0.589285714285714,0.505084745762712,0.290948275862069,0.603448275862069,0.431151241534989,0.576601671309192,1.61616161616162,0.183333333333333,0.0595271210013908,0.232142857142857,0.142857142857143,0.193548387096774,0.0813953488372093,0.394736842105263,0.700680272108844,1.17241379310345,0.655038759689923,0.503448275862069,0.46969696969697,0.28921568627451,0.213151927437642,0.278145695364238,0.23469387755102,0.301115241635688,0.134328358208955,0.103092783505155,0.431486880466472,0.259365994236311,0.68,0.547619047619048,0.142548596112311,0.0544554455445545,0.145118733509235,0.368421052631579,0.021689497716895,0.130801687763713,0.0933333333333333,0.24,0.0766550522648084,0.518518518518518,0.797101449275362,0.519480519480519,0.149732620320856,0.558641975308642,0.271844660194175,0.174089068825911,0.392857142857143,0.22887323943662,0.211360634081902,0.256993006993007,0.258964143426295,0.0996784565916399,0.147058823529412,0.116564417177914,0.18213058419244,0.287179487179487,0.295454545454545,0.642487046632124,0.0457516339869281,0.0451612903225806,0,0.0681818181818182,0.0454545454545455,0.182509505703422,0.138138138138138,0.13215859030837,0.024390243902439,0.407821229050279,0.412280701754386,0.348101265822785,0.123595505617978,0.156133828996283,0.210526315789474,0.146551724137931,0.222222222222222,0.154716981132075,0.178125,0.195195195195195,0.106060606060606,0.117117117117117,0.178343949044586,0.25,0.19205298013245,0.00970873786407767,0.0892857142857143,0.255813953488372,0,0.0378657487091222,0.0398230088495575,0.0461538461538462,0.0559440559440559,0.156626506024096,0.0172413793103448,0.0511945392491468,0.0913978494623656,0.079646017699115,0.0687285223367698,0.05103668261563,0.0448717948717949,0.0511073253833049,0.04375,0.0604229607250755,0.107438016528926,0.0224719101123595,0.0540540540540541,0.0599078341013825,0.0712468193384224,0.0178571428571429,0.0523809523809524,0.0620031796502385,0.0139790314528208,0.0823937554206418,0.0903614457831325,0.0952380952380952,0.0453172205438066,0.120967741935484,0.121212121212121,0.0625,0.235955056179775,0.0603015075376884,0.138592750533049,0.129213483146067,0.142028985507246,0.0994475138121547,0.132450331125828,0.143867924528302,0.0333333333333333,0.0827586206896552,0.0764744005184705,0.0602636534839925,0.0885122410546139,0.105067985166873,0.0810810810810811,0.0454545454545455,0.0384615384615385,0,0.0963855421686747,0.183458646616541
HERV_dup1001,chr1,62753981,62762193,+,8213,0.0186170212765957,0.015,0,0.00630914826498423,0.00625,0,0.0135593220338983,0,0.120689655172414,0,0.00278551532033426,0.282828282828283,0,0.000278164116828929,0,0,0,0,0,0.0612244897959184,0.146551724137931,0.0116279069767442,0,0,0.0343137254901961,0,0,0,0.00929368029739777,0.0447761194029851,0,0.0087463556851312,0.00288184438040346,0,0.0357142857142857,0.868250539956803,1,1.06596306068602,1.17543859649123,0.0936073059360731,0.135021097046413,0.806666666666667,0.887272727272727,0.689895470383275,0.757834757834758,0.63768115942029,0.616883116883117,0.39572192513369,0.611111111111111,1.40776699029126,0.165991902834008,0.910714285714286,0.0950704225352113,0.413474240422721,0.225524475524476,0.159362549800797,0.0996784565916399,0.394117647058824,0.926380368098159,0.357388316151203,0.235897435897436,1.11363636363636,1.51295336787565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.276315789473684,0,0.0840840840840841,0,0,0,0,0,0,0,0,0,0,0.0174418604651163,0.127906976744186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HERV_dup1002,chr16,2925620,2937013,+,11394,0.167553191489362,0.235,0.254901960784314,0.384858044164038,0.26875,0.25,0.177966101694915,0.0883620689655172,0.120689655172414,0.101580135440181,0.0696378830083565,0.202020202020202,0.05,0.00973574408901252,0.0357142857142857,0.0952380952380952,0.032258064516129,0,0.0592105263157895,0.129251700680272,0.146551724137931,0.251937984496124,0.255172413793103,0.0909090909090909,0.053921568627451,0.054421768707483,0.0993377483443709,0.0714285714285714,0.0539033457249071,0.0298507462686567,0.0412371134020619,0.0612244897959184,0.0576368876080692,0.24,0.119047619047619,0.0453563714902808,0.0891089108910891,0.0527704485488127,0.0175438596491228,0.00570776255707763,0.0105485232067511,0.0133333333333333,0.08,0.0313588850174216,0.108262108262108,0.246376811594203,0.11038961038961,0.0641711229946524,0.111111111111111,0.0970873786407767,0.048582995951417,0.160714285714286,0.0352112676056338,0.0660501981505945,0.0506993006993007,0.0378486055776892,0.0160771704180064,0.0294117647058824,0.0368098159509202,0.0412371134020619,0.0948717948717949,0.053030303030303,0.103626943005181,0.0261437908496732,0.00645161290322581,0.0185185185185185,0.0113636363636364,0.0113636363636364,0.026615969581749,0.018018018018018,0.0176211453744493,0.00813008130081301,0.0893854748603352,0.0789473684210526,0.069620253164557,0.0449438202247191,0.0817843866171004,0.0657894736842105,0.0775862068965517,0.0570570570570571,0.0339622641509434,0.04375,0.045045045045045,0.0378787878787879,0.036036036036036,0.0636942675159236,0.0425531914893617,0.0562913907284768,0,0.0535714285714286,0.0523255813953488,0.0465116279069767,0.00516351118760757,0.00442477876106195,0,0.0559440559440559,0.0481927710843374,0.0172413793103448,0.0068259385665529,0.0537634408602151,0.00884955752212389,0.0274914089347079,0.00956937799043062,0.0224358974358974,0.0119250425894378,0.025,0.0211480362537764,0.0537190082644628,0.0112359550561798,0.0135135135135135,0.0230414746543779,0.0216284987277354,0.0357142857142857,0.019047619047619,0.0278219395866455,0.00599101347978033,0.013009540329575,0.0542168674698795,0.0299823633156966,0.0211480362537764,0.0161290322580645,0.0606060606060606,0,0.0308988764044944,0.0201005025125628,0.0330490405117271,0.0674157303370786,0.0657004830917874,0.0276243093922652,0.033112582781457,0.0247641509433962,0.0259259259259259,0.0206896551724138,0.0155541153596889,0.0131826741996234,0.0188323917137476,0.0222496909765142,0.0168918918918919,0.00909090909090909,0.0256410256410256,0,0.0441767068273092,0.037593984962406
HERV_dup1003,chr16,29709080,29719547,+,10468,0,0,0,0.00946372239747634,0.0125,0,0.0186440677966102,0.0021551724137931,0.0172413793103448,0,0.00278551532033426,0,0,0.000834492350486787,0,0,0,0,0,0.00340136054421769,0.00862068965517241,0,0,0,0.00980392156862745,0.0090702947845805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0056980056980057,0,0,0,0.00308641975308642,0,0,0,0.0123239436619718,0.00396301188903567,0,0,0,0,0,0,0,0,0.00518134715025907,0,0,0,0,0,0,0,0,0,0,0,0.00632911392405063,0,0,0.0263157894736842,0,0.003003003003003,0.00377358490566038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0120481927710843,0,0,0,0,0,0,0.00320512820512821,0,0,0,0,0,0,0.00460829493087558,0.00254452926208651,0,0,0,0,0.000867302688638335,0.00602409638554217,0,0.00302114803625378,0,0,0,0,0,0,0,0,0.0110497237569061,0.00662251655629139,0,0.0037037037037037,0.000626959247648903,0,0,0,0,0.000844594594594595,0,0.0256410256410256,0,0.00401606425702811,0
HERV_dup1004,chr16,30096902,30104164,+,7263,0.0771276595744681,0.055,0.176470588235294,0.0914826498422713,0.0875,0.107142857142857,0.0644067796610169,0.0301724137931034,0.0172413793103448,0.0338600451467269,0.0584958217270195,0.0707070707070707,0.0166666666666667,0.00361613351877608,0.0357142857142857,0,0.010752688172043,0.0581395348837209,0.0592105263157895,0.0510204081632653,0.0517241379310345,0.0658914728682171,0.117241379310345,0.0909090909090909,0.053921568627451,0.0158730158730159,0.033112582781457,0.0306122448979592,0.0185873605947955,0.0149253731343284,0.103092783505155,0.0349854227405248,0.0345821325648415,0.02,0.0595238095238095,0.0302375809935205,0.0495049504950495,0.116094986807388,0.087719298245614,0.00799086757990868,0.0210970464135021,0.0333333333333333,0.0436363636363636,0.00696864111498258,0.0911680911680912,0.0289855072463768,0.0454545454545455,0.0374331550802139,0.0462962962962963,0.0970873786407767,0.0445344129554656,0.0357142857142857,0.0440140845070423,0.0462351387054161,0.034965034965035,0.047808764940239,0.0160771704180064,0.00588235294117647,0.0184049079754601,0.0652920962199313,0.058974358974359,0.0151515151515152,0.0932642487046632,0.0065359477124183,0,0.0185185185185185,0.0170454545454545,0.0227272727272727,0.0114068441064639,0.036036036036036,0.0572687224669604,0.00813008130081301,0.0726256983240224,0.043859649122807,0.0189873417721519,0.0337078651685393,0.0408921933085502,0.0131578947368421,0.00862068965517241,0.042042042042042,0.0188679245283019,0.03125,0.021021021021021,0.0151515151515152,0.018018018018018,0.0254777070063694,0.0691489361702128,0.043046357615894,0.00970873786407767,0.0535714285714286,0.0348837209302326,0,0,0,0,0,0,0,0.0068259385665529,0.0967741935483871,0,0.00343642611683849,0.00318979266347687,0,0.00170357751277683,0,0,0,0,0,0.00460829493087558,0.0152671755725191,0,0.0666666666666667,0.0222575516693164,0.00898652021967049,0.0225498699045967,0.0421686746987952,0.0282186948853616,0.0151057401812689,0.0241935483870968,0.0363636363636364,0.0234375,0.0365168539325843,0.0100502512562814,0.0362473347547974,0.0337078651685393,0.0685990338164251,0.0441988950276243,0.0993377483443709,0.0188679245283019,0.0037037037037037,0.0326018808777429,0.0187945560596241,0.0263653483992467,0.0263653483992467,0.0432632880098888,0.035472972972973,0.0181818181818182,0.0170940170940171,0.0178571428571429,0.0200803212851406,0.0571428571428571
HERV_dup1005,chr16,30541069,30546762,-,5694,0,0,0,0,0,0.0535714285714286,0.0203389830508475,0,0,0,0.0167130919220056,0,0,0,0,0,0.032258064516129,0,0,0,0.00862068965517241,0,0,0,0,0,0,0,0,0,0,0.0087463556851312,0,0,0,0.0172786177105832,0,0,0,0,0.00210970464135021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00256410256410256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0591397849462366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000794912559618442,0,0.00173460537727667,0,0,0.0241691842900302,0,0,0,0.0098314606741573,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00591216216216216,0,0,0,0,0.00150375939849624
HERV_dup1007,chr16,3073187,3081318,-,8132,0,0,0,0,0,0,0.00338983050847458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00490196078431373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00688468158347676,0.00221238938053097,0.0153846153846154,0.00699300699300699,0,0.00862068965517241,0.0068259385665529,0.00537634408602151,0,0.0206185567010309,0.0175438596491228,0.0384615384615385,0.0340715502555366,0.025,0.0120845921450151,0.0289256198347107,0.0112359550561798,0,0.0184331797235023,0,0,0.00476190476190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000626959247648903,0,0,0.00470809792843691,0,0,0,0,0,0,0
HERV_dup1017,chr16,35516772,35524442,+,7671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003003003003003,0,0,0,0,0,0,0,0,0,0,0,0,0.003003003003003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000499251123315027,0.0216825672159584,0.0180722891566265,0.0229276895943563,0.00604229607250755,0,0.0181818181818182,0,0.0252808988764045,0,0.00106609808102345,0.0224719101123595,0.000966183574879227,0,0.0463576158940397,0,0,0.00188087774294671,0.0395333765392093,0.00188323917137476,0.00188323917137476,0,0.0126689189189189,0.0151515151515152,0,0,0,0
HERV_dup1029,chr1,6560514,6570438,-,9925,0.0159574468085106,0.03,0.00980392156862745,0.0315457413249211,0.0375,0,0.0389830508474576,0.0021551724137931,0,0.0158013544018059,0,0,0,0.000556328233657858,0,0,0,0,0,0,0,0,0,0,0.0294117647058824,0.00226757369614512,0,0,0.00185873605947955,0,0,0,0.00864553314121038,0,0,0.00647948164146868,0,0.00527704485488127,0,0.0045662100456621,0.00421940928270042,0,0,0,0.0284900284900285,0,0,0.0320855614973262,0.0555555555555556,0,0.0121457489878543,0,0.00704225352112676,0.0158520475561427,0.0034965034965035,0.0139442231075697,0,0.229411764705882,0,0.0240549828178694,0.0717948717948718,0,0.00518134715025907,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00371747211895911,0.0263157894736842,0.0344827586206897,0,0,0,0,0,0,0.0127388535031847,0,0,0,0,0,0,0.00172117039586919,0,0,0,0,0.0431034482758621,0,0.010752688172043,0,0,0,0,0,0,0,0,0,0,0,0.00127226463104326,0,0.0357142857142857,0,0.00798801797304044,0.013009540329575,0,0,0,0,0.00606060606060606,0,0.0589887640449438,0.0050251256281407,0.0127931769722814,0,0.000966183574879227,0,0,0,0,0,0.00194426441996111,0,0,0,0.0118243243243243,0.0151515151515152,0,0,0,0.0150375939849624
